,None.Create Job Requisition,None.Review Assessment,None.Evaluate Interview,None.Prepare Offer Letter,None.Post Job Opening,None.Screen Resume,None.Schedule Initial Interview,None.Conduct Initial Interview,None.Schedule Panel Interview,None.Conduct Panel Interview
,Create Job Requisition,Review Assessment,Evaluate Interview,Prepare Offer Letter,Post Job Opening,Screen Resume,Schedule Initial Interview,Conduct Initial Interview,Schedule Panel Interview,Conduct Panel Interview
HM003,5.0,47.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
HM001,5.0,41.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
HM002,4.0,27.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
R010,0.0,0.0,0.0,0.0,10.0,314.0,182.0,182.0,0.0,0.0
R008,0.0,0.0,0.0,0.0,15.0,454.0,269.0,269.0,0.0,0.0
R003,0.0,0.0,0.0,0.0,11.0,341.0,205.0,205.0,0.0,0.0
R009,0.0,0.0,0.0,0.0,9.0,237.0,142.0,142.0,0.0,0.0
R006,0.0,0.0,0.0,0.0,11.0,359.0,207.0,207.0,0.0,0.0
R007,0.0,0.0,0.0,0.0,12.0,329.0,208.0,208.0,0.0,0.0
R004,0.0,0.0,0.0,0.0,8.0,235.0,147.0,147.0,0.0,0.0
R001,0.0,0.0,0.0,0.0,8.0,252.0,156.0,156.0,0.0,0.0
R002,0.0,0.0,0.0,0.0,9.0,278.0,165.0,165.0,0.0,0.0
R005,0.0,0.0,0.0,0.0,7.0,201.0,130.0,130.0,0.0,0.0
I005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0
I001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0
I003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0
I006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0
I002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0
I004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0
