,Candidate.Entry Level=NaN,Candidate.Entry Level=Senior,Candidate.Entry Level=Associate,Candidate.Entry Level=Senior,Candidate.Entry Level=Associate,Candidate.Entry Level=Associate,Candidate.Entry Level=Senior,Candidate.Entry Level=NaN,Candidate.Entry Level=Senior,Candidate.Entry Level=Senior,Candidate.Entry Level=Senior,Candidate.Entry Level=Associate,Candidate.Entry Level=Associate,Candidate.Entry Level=Associate,Candidate.Entry Level=Senior,Candidate.Entry Level=Senior,Candidate.Entry Level=Associate,Candidate.Entry Level=Associate
,None.Create Job Requisition,None.Review Assessment,None.Review Assessment,None.Evaluate Interview,None.Evaluate Interview,None.Prepare Offer Letter,None.Prepare Offer Letter,None.Post Job Opening,None.Screen Resume,None.Schedule Initial Interview,None.Conduct Initial Interview,None.Screen Resume,None.Schedule Initial Interview,None.Conduct Initial Interview,None.Schedule Panel Interview,None.Conduct Panel Interview,None.Conduct Panel Interview,None.Schedule Panel Interview
,Create Job Requisition,Review Assessment,Review Assessment,Evaluate Interview,Evaluate Interview,Prepare Offer Letter,Prepare Offer Letter,Post Job Opening,Screen Resume,Schedule Initial Interview,Conduct Initial Interview,Screen Resume,Schedule Initial Interview,Conduct Initial Interview,Schedule Panel Interview,Conduct Panel Interview,Conduct Panel Interview,Schedule Panel Interview
HM003,39.0,183.0,122.0,101.0,64.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HM002,30.0,156.0,131.0,79.0,69.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HM001,31.0,192.0,127.0,90.0,59.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,314.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,454.0,269.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,341.0,205.0,205.0,0.0,0.0,0.0,0.0
R009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,237.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,359.0,207.0,207.0,0.0,0.0,0.0,0.0
R007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,329.0,208.0,208.0,0.0,0.0,0.0,0.0
R004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,235.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,252.0,156.0,156.0,0.0,0.0,0.0,0.0
R002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,278.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,201.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,138.0,87.0,75.0
I001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,104.0,106.0
I002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,133.0,101.0,82.0
I003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,146.0,91.0,97.0
I006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,131.0,101.0,109.0
I004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,122.0,83.0,98.0
